day,susceptible,infected,recovered
0,76323,7787,0
1,65696,18414,0
2,55197,28913,0
3,45866,38244,0
4,37875,46235,0
5,31297,52813,0
6,25887,58223,0
7,21430,62680,0
8,17876,66234,0
9,15006,69104,0
